cell50x50,occ_ebba1,SR_ebba1,occ_ebba2,SR_ebba2,deltaSR_birds,occ_m_b2000,SR_m_b2000,occ_m_a2015,SR_m_a2015,deltaSR_mammals,delta_occ_m,deltaT,ccv,log_ccv
29TQG1,NA,NA,NA,NA,NA,28,35,9506,10,25,9478,0.533184556217937,6.11526211606463,1.590108035547
29TQG2,131,131,141,141,10,28,35,7978,7,28,7950,0.529110302796235,9.81299665147407,2.11940166857156
29TQH1,106,106,126,126,20,NA,33,11362,NA,NA,NA,0.49063227726863,3.2763958744566,0.935694815555719
29TQH2,121,121,128,128,7,6,32,7338,2,30,7332,0.520634920418668,3.36347827314066,1.06763163000528
29TQJ2,NA,NA,NA,NA,NA,NA,20,4226,NA,NA,NA,0.489899719817729,5.15464441308213,1.381051546185
29ULT3,NA,NA,NA,NA,NA,25,3,27,6,-3,2,0.311111450195312,NA,NA
29UMA2,107,107,82,82,-25,21,7,49,6,1,28,0.305184164712595,12.0643800446175,2.27662328500304
29UMA4,104,104,75,75,-29,87,11,101,5,6,14,0.301890989450308,6.54030244264122,1.69060133258247
29UMS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306250095367432,NA,NA
29UMT1,115,115,86,86,-29,324,14,379,14,0,55,0.282232121058873,3.59353449741307,1.03350567345689
29UMT2,85,85,90,90,5,230,18,280,9,9,50,0.288364851249839,3.34451613141922,1.0480881423487
29UMT3,NA,NA,NA,NA,NA,426,21,934,14,7,508,0.284322022044726,4.84172500664127,1.31997491997904
29UMT4,76,76,90,90,14,524,15,452,13,2,-72,0.288431375166949,5.60988054545722,1.45316220555701
29UMU2,NA,NA,NA,NA,NA,32,5,28,5,0,-4,0.272010844686757,14.1682545226995,2.64159702942212
29UMU3,106,106,84,84,-22,316,17,578,14,3,262,0.283418694480521,8.00608101400561,1.78269195382517
29UMU4,NA,NA,NA,NA,NA,223,14,517,8,6,294,0.276265728858209,8.59157487458462,1.80764427501175
29UMV1,NA,NA,NA,NA,NA,69,13,184,7,6,115,0.306138877868652,13.5763741712696,1.93545806799445
29UMV2,97,97,97,97,0,78,11,175,7,4,97,0.290872023277676,7.13709581062552,1.48991637959923
29UMV3,NA,NA,NA,NA,NA,237,18,677,7,11,440,0.309220103728466,8.82510470936893,1.83953248500295
29UMV4,102,102,98,98,-4,355,20,989,9,11,634,0.293129237011226,8.91709351878026,1.75652614255758
29UNA1,116,116,85,85,-31,165,13,367,7,6,202,0.358165919780731,7.32289085598115,1.65339932790641
29UNA2,104,104,96,96,-8,438,14,457,14,0,19,0.320872684694686,8.2703928182209,1.57224535193521
29UNA3,102,102,87,87,-15,354,17,335,15,2,-19,0.37908331155777,11.8871641741713,1.9875528921948
29UNA4,107,107,96,96,-11,303,20,1225,20,0,922,0.349268345716523,9.06612017186946,1.81887844897661
29UNB4,118,118,106,106,-12,193,12,158,8,4,-35,0.401751492930725,8.09431013466398,1.81387751722511
29UNT1,97,97,76,76,-21,314,17,1191,10,7,877,0.286711396470582,8.39957578216195,1.7517527661747
29UNT2,81,81,82,82,1,201,18,1041,11,7,840,0.310351595282555,12.9780020253608,2.40650922396139
29UNT3,95,95,91,91,-4,432,16,765,14,2,333,0.297243301314537,6.88465312532811,1.5317479795518
29UNU1,NA,NA,NA,NA,NA,567,18,882,14,4,315,0.288078756043405,8.79804328542801,1.77245193934015
29UNU2,90,90,85,85,-5,380,22,632,13,9,252,0.285837505802964,8.48084924311998,1.93202949791602
29UNU3,86,86,87,87,1,735,15,545,11,4,-190,0.291035353535354,13.3930590058933,2.20471684559797
29UNU4,90,90,79,79,-11,250,17,357,11,6,107,0.293552632080881,14.3207228673541,2.00693359267836
29UNV1,NA,NA,NA,NA,NA,288,17,449,11,6,161,0.308058380475504,14.700280933311,2.40867215485069
29UNV2,NA,NA,NA,NA,NA,223,16,694,9,7,471,0.277251686712708,16.1501166153023,2.55363386904247
29UNV3,NA,NA,NA,NA,NA,307,17,385,11,6,78,0.295239674147739,17.6451254538118,2.43982561530677
29UNV4,100,100,91,91,-9,316,16,692,10,6,376,0.278303907375143,18.4752408654661,2.58556083549369
29UPA1,NA,NA,NA,NA,NA,336,20,702,11,9,366,0.403844591500103,7.88004444961353,1.77320293151148
29UPA2,88,88,78,78,-10,578,19,1007,17,2,429,0.378950114297395,12.2035047091371,2.30012866528383
29UPA3,NA,NA,NA,NA,NA,388,20,913,12,8,525,0.437048216900194,11.4234169162591,2.10204779969706
29UPA4,104,104,91,91,-13,518,22,1386,16,6,868,0.385405142662934,10.7808819834033,2.09983238783624
29UPB2,112,112,104,104,-8,117,15,295,11,4,178,0.409267987046286,6.19665262378732,1.63650222290472
29UPB4,110,110,89,89,-21,195,22,1172,12,10,977,0.459480349937182,10.3784558446055,1.96354699559645
29UPT1,NA,NA,NA,NA,NA,171,16,1118,10,6,947,0.306651256702564,14.4637126323379,2.06321827789023
29UPU1,NA,NA,NA,NA,NA,314,18,1379,12,6,1065,0.293803662368932,15.3872623172526,2.2376225308552
29UPU2,NA,NA,NA,NA,NA,331,16,1064,9,7,733,0.298440116491073,7.77065862663775,1.64310112906994
29UPU3,112,112,109,109,-3,252,19,1315,13,6,1063,0.319216795957805,3.69156301647565,1.16631558060014
29UPU4,104,104,87,87,-17,188,15,964,7,8,776,0.312803871101803,8.79277826054065,1.94995467491476
29UPV1,NA,NA,NA,NA,NA,287,15,477,9,6,190,0.345958337783813,16.258621282068,2.55853831385326
29UPV2,96,96,85,85,-11,394,18,1409,10,8,1015,0.3032207025064,31.3995126936448,3.07281445285982
29UPV3,NA,NA,NA,NA,NA,193,13,894,13,0,701,0.357663194616358,11.1561961778914,2.17224266502318
29UPV4,109,109,100,100,-9,269,22,2455,13,9,2186,0.337642904009138,14.5635216215416,2.29035069067066
29VPC3,114,114,102,102,-12,212,20,267,19,1,55,0.567589711539353,8.45271028746175,2.0065984546383002
29VPE4,NA,NA,NA,NA,NA,104,16,101,13,3,-3,0.63014184667709,9.36220372161406,2.03548630553705
30STF3,141,141,153,153,12,24,19,10344,5,14,10320,0.510372874611302,13.0831108901516,2.05181235140418
30STF4,154,154,160,160,6,6,26,12914,3,23,12908,0.526741587926471,13.1553310417512,1.9967823065032
30STG3,NA,NA,NA,NA,NA,NA,31,8099,NA,NA,NA,0.462158149327987,11.3910794302404,2.04694010889731
30STG4,NA,NA,NA,NA,NA,3,31,5417,3,28,5414,0.476964545373472,18.6862454749335,2.69700340836956
30STH3,115,115,119,119,4,1,14,6398,1,13,6397,0.46519133593585,17.3130089016572,2.43139077704703
