"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT","ccv","log_ccv"
"30SXH2",106,106,123,123,17,6,24,7697,5,19,7691,0.592500015784954,6.56909221534996,1.67982817192704
"30SXH4",151,151,155,155,4,25,33,7718,11,22,7693,0.615719720914766,11.1552924784368,1.95914850203327
"30SXJ1",113,113,109,109,-4,115,21,11861,18,3,11746,0.597456665782185,9.1255172325374,2.03179878627448
"30SXJ3",119,119,122,122,3,362,39,12048,29,10,11686,0.62962500890096,5.66577116127437,1.52331196062561
"30SXJ4",112,112,129,129,17,294,38,9132,31,7,8838,0.629963650799438,6.09417547284155,1.51109712039586
"30SXK2",110,110,127,127,17,56,30,14409,12,18,14353,0.590305035410364,6.37371793157755,1.65967933529801
"30SXK4",129,129,128,128,-1,287,36,12221,25,11,11934,0.634953763749864,3.94330639198651,1.09344034426439
"30SYH1",120,120,137,137,17,213,37,12403,28,9,12190,0.642018222808838,3.56758350972314,1.05762835176476
"30SYJ1",147,147,158,158,11,828,38,4531,31,7,3703,0.630623030431062,13.5023048417289,2.21299414239041
"30SYJ2",137,137,141,141,4,324,37,7313,30,7,6989,0.641844079849568,10.0034042406248,1.70445811421231
"30SYK2",146,146,143,143,-3,261,41,10035,34,7,9774,0.641528646629977,4.69622123136034,1.31465372247249
"30TTK3",149,149,148,148,-1,247,26,9721,24,2,9474,0.475209611407398,5.40455148430414,1.00386353709218
"30TTL4",158,158,144,144,-14,3,26,5449,2,24,5446,0.500959598656857,19.4570956253531,2.74728789609272
"30TTN3",120,120,119,119,-1,1,31,8927,1,30,8926,0.536786156100827,3.30902154803483,0.951667862507208
"30TTN4",149,149,151,151,2,NA,30,7282,NA,NA,NA,0.546371862190921,7.75273951438393,1.7600403118474
"30TUK1",148,148,148,148,0,44,34,10570,13,21,10526,0.511425591114932,3.26362892588151,0.789904612153339
"30TUK3",149,149,142,142,-7,12,29,11298,8,21,11286,0.507546684958718,4.07614321025055,1.05953656894047
"30TUL1",136,136,138,138,2,1,21,3746,1,20,3745,0.546653218423167,32.8481890198007,3.36018637791966
"30TUL2",140,140,143,143,3,1,13,4300,1,12,4299,0.524729480991116,16.6537528889441,2.46292670217086
"30TUL3",122,122,140,140,18,1,18,6577,1,17,6576,0.574702405310296,34.8994573953701,3.30820609290811
"30TUL4",146,146,152,152,6,2,21,7778,2,19,7776,0.523537843123726,17.2532059062147,2.34352934394381
"30TUM1",123,123,129,129,6,NA,12,3074,NA,NA,NA,0.576056136025323,32.7881556562921,3.32044085456214
"30TUM2",132,132,131,131,-1,NA,20,3859,NA,NA,NA,0.567811206535057,32.6380731405685,3.09176764101657
"30TUM3",141,141,136,136,-5,5,23,5742,4,19,5737,0.613897288717875,24.8862041854428,3.04377817315482
"30TUM4",137,137,137,137,0,NA,25,6670,NA,NA,NA,0.605032400651412,21.9347445232427,2.78118393288912
"30TUN1",129,129,138,138,9,18,37,7463,11,26,7445,0.58684342991222,3.35302942543672,0.978454415876728
"30TUN2",145,145,146,146,1,3,29,9590,3,26,9587,0.610675426743786,7.92746780740818,1.93473194727027
"30TUN3",135,135,134,134,-1,58,56,12548,12,44,12490,0.593881061242062,2.48111707079889,0.748118476792949
"30TUN4",149,149,150,150,1,5,31,10152,3,28,10147,0.627069545897427,10.2753503961949,2.1386659088003
"30TUP2",100,100,112,112,12,3,26,3822,3,23,3819,0.55995371985057,7.28295609548458,1.73179998225102
"30TUP4",111,111,114,114,3,1,30,1253,1,29,1252,0.581041622161865,5.62969647320941,1.60281019471311
"30TVK1",150,150,162,162,12,272,35,8895,23,12,8623,0.508236733493426,12.8692806435024,2.17249643617679
"30TVL1",128,128,145,145,17,1,14,7135,1,13,7134,0.613358584317294,22.8770982627942,2.52328184323499
